policy_id,n_rules_in,any_port_frac,cut_ratio_dst_port,cut_ratio_src_port,cuts_dst,cuts_port,cuts_src,deny_frac,icmp_frac,mean_dst_span,mean_src_span,n_atomic_protocols,n_rules,proto_entropy,proto_split_gain,superset_frac,n_nodes_o1,n_nodes_o2,n_nodes_o3,n_nodes_o4,n_nodes_o5,n_nodes_o6,n_nodes_o7,n_nodes_o8,n_nodes_o9,n_nodes_o10,n_nodes_o11,n_nodes_o12,tree_bytes_o1,tree_bytes_o2,tree_bytes_o3,tree_bytes_o4,tree_bytes_o5,tree_bytes_o6,tree_bytes_o7,tree_bytes_o8,tree_bytes_o9,tree_bytes_o10,tree_bytes_o11,tree_bytes_o12,peak_bytes_o1,peak_bytes_o2,peak_bytes_o3,peak_bytes_o4,peak_bytes_o5,peak_bytes_o6,peak_bytes_o7,peak_bytes_o8,peak_bytes_o9,peak_bytes_o10,peak_bytes_o11,peak_bytes_o12,conv_s_o1,conv_s_o2,conv_s_o3,conv_s_o4,conv_s_o5,conv_s_o6,conv_s_o7,conv_s_o8,conv_s_o9,conv_s_o10,conv_s_o11,conv_s_o12,match_us_mean_o1,match_us_mean_o2,match_us_mean_o3,match_us_mean_o4,match_us_mean_o5,match_us_mean_o6,match_us_mean_o7,match_us_mean_o8,match_us_mean_o9,match_us_mean_o10,match_us_mean_o11,match_us_mean_o12,best_ordering_nodes,best_ordering_bytes
9262,193,0.16666666666666666,0.2849462365591398,0.2849462365591398,53,186,53,0.4791666666666667,0.08854166666666667,0.16146050090901554,0.09896145705715753,3,192,2.0688522812266537,3.907563025210084,0.234375,5937,10433,5934,10072,10522,10164,6969,11753,10453,6851,11301,10451,53264600,53991320,53262968,53784344,54002328,53799000,59622472,60384584,67048072,59373320,59923720,67046920,199869281,201060849,199789657,200740681,201050809,200811401,227660665,228917561,260167845,226639375,227652047,259978583,15.84383159999561,16.302370299999893,16.071415200000047,16.078485099998943,16.392494500003522,16.306095499996445,18.320329800000763,17.86193359999743,18.930273999998462,16.971685500000603,18.980378200001724,19.4156806999963,6.99006666642769,7.109999999859913,6.893866667572486,7.45331666742762,8.539633334294194,8.4209833330533,7.433683332540871,7.398183332649448,7.263650000822963,7.299949999530024,7.369066666190823,7.443599999533035,3,3
9263,188,0.13368983957219252,0.30726256983240224,0.30726256983240224,55,179,55,0.4385026737967914,0.09090909090909091,0.13904022732326252,0.14973574023778466,3,187,2.0432580073778044,3.713692946058091,0.2192513368983957,6418,11580,6415,11596,11677,11696,7399,12799,11719,7561,12799,11719,65823160,66611064,65819032,66136728,66616760,66151640,71290552,72095800,78908872,71199400,71506984,78908872,247652846,248973262,247607286,248458798,248824662,248361406,270439886,271802382,302996874,270111372,270958524,302996876,22.858959099976346,20.74165360000916,21.31205179996323,20.767536300001666,21.403718199930154,20.988665299955755,23.605423699948005,22.125051100039855,23.681462900014594,22.21904530003667,22.345003800000995,23.76182819996029,,,,,,,,,,,,,3,3
9297,111,0.13636363636363635,0.44537815126050423,0.4369747899159664,53,119,52,0.39090909090909093,0.09090909090909091,0.21818461315706372,0.18181959020016206,3,110,2.115179066353723,3.71875,0.2636363636363636,3881,5059,3889,5464,5095,5492,5401,6801,9851,4901,6665,9850,25078304,25198560,25082304,25411968,25206144,25414592,31195720,31326920,38288520,28305664,28677280,38287944,93598593,93839616,93599856,94092488,93837441,94088393,120812412,121086780,149457240,107434774,107989094,149404658,7.2674653000431135,8.49784309999086,8.042191299959086,8.107429499970749,7.3942777999909595,7.403179500019178,9.457581500057131,9.578700099955313,11.176769100013189,7.760655700112693,8.663349899929017,10.859598199953325,,,,,,,,,,,,,1,1
9302,216,0.13023255813953488,0.2777777777777778,0.2727272727272727,55,198,54,0.44651162790697674,0.07441860465116279,0.16279277836817296,0.14418805458279715,3,215,2.1072590387282237,3.639705882352941,0.28837209302325584,6966,11350,6959,10864,11427,10948,7580,12032,11078,7801,11805,11077,62201608,62686824,62206408,63131880,62705608,63141064,65356400,65843152,71180040,66993160,67969928,71184360,233994261,234932293,234026957,235356053,234889037,235275245,247726785,248673473,272767677,254574579,255965323,272677943,19.21296539999821,20.258033799997065,20.580467100000533,20.11606000000029,21.876274500002182,22.240756799998053,20.881801300001825,22.489271499998722,23.017703400000755,23.80872470000031,23.416976199998317,21.915611699998408,,,,,,,,,,,,,3,1
9303,396,0.13924050632911392,0.1870748299319728,0.1870748299319728,55,294,55,0.41265822784810124,0.0810126582278481,0.1620276939283019,0.11392654490633573,3,395,2.0232280793358566,3.9095744680851063,0.22784810126582278,8019,17208,8026,18026,17393,18204,8695,18307,11719,8317,18307,11719,104114608,106110064,104108944,105151504,106129264,105190096,110366680,112450648,112267912,105355912,106392712,112267912,393537114,396493650,393325826,395403682,396313594,395455026,419554678,422643718,426578654,395351452,397422460,426578888,35.096418000000995,35.67251810000016,35.132397699999274,35.106496100001095,38.92993489999935,38.70207369999844,35.46008260000235,38.10176919999503,35.88577559999976,33.48928029999661,33.91351399999985,34.103278199996566,8.587133333397409,9.378000001258139,8.524866666751526,9.388933332957095,14.912850000352288,11.55543333394841,9.070683333751125,9.610416667176954,8.818299999499382,9.238183334673522,9.653783334215404,8.649100001396922,1,3
9309,187,0.13440860215053763,0.3125,0.3125,55,176,55,0.45161290322580644,0.12365591397849462,0.1344106720662826,0.12365872317159007,3,186,2.134249899732407,3.6363636363636367,0.25268817204301075,7053,11798,7042,11222,11879,11314,7669,12637,11719,8263,12637,11719,64469896,65247880,64467880,65083624,65260008,65098728,68507176,69322792,77345896,72037912,72692824,77345896,243396237,244667269,243283781,244331749,244559917,244338781,260704793,262036761,300341993,277176999,278284311,300341995,19.827890100074,19.851404399960302,20.05713970004581,19.93767819995992,22.412067299941555,21.926008800044656,20.17983560007997,21.46292750001885,23.106259000021964,23.527365599991754,21.78220210003201,22.538751999964006,,,,,,,,,,,,,3,3
9311,371,0.14054054054054055,0.1724137931034483,0.1724137931034483,55,319,55,0.44594594594594594,0.07567567567567568,0.12702931464976958,0.12973177087858218,3,370,2.0915730302371656,3.9875,0.2918918918918919,7996,19812,7996,20092,20034,20314,8479,20467,11719,8479,20467,11719,119379280,122091984,119374384,121382320,122128752,121433232,122847160,125596408,125331592,121131256,123116728,125331592,451661303,455602087,451804391,455055975,455704599,455033975,464722635,468717963,474252731,457190033,460407777,474252621,39.983916100005445,40.2983641000028,39.968019200001436,40.32329390000086,44.4440437000012,43.699231799997506,38.5569381000023,43.60992189999524,41.934653200005414,44.320432299995446,41.2497629999998,38.50578620000306,,,,,,,,,,,,,1,3
9318,184,0.12568306010928962,0.2956989247311828,0.2956989247311828,55,186,55,0.37158469945355194,0.1092896174863388,0.1420792736166508,0.16940109529456154,3,183,2.1966909766433975,3.72,0.30601092896174864,3890,4806,3903,5342,4841,5364,5312,6346,9824,5201,7021,9829,22701032,23067304,22699112,22891528,23072456,22900424,28551328,28969440,37704296,28405832,28673736,37707176,85471944,85933752,85467528,85807352,85964112,85843272,111231000,111757768,150474500,110909862,111364838,150424270,6.392495599924587,6.5791534999152645,6.88458620000165,6.647760600084439,7.572359599987976,7.430432599969208,8.730687499977648,8.40961570001673,10.612302900059149,8.698704599984922,8.919015199993737,11.611253799987026,,,,,,,,,,,,,1,3
9324,188,0.15508021390374332,0.34375,0.34375,55,160,55,0.45989304812834225,0.0855614973262032,0.1497355792671442,0.17647232227450746,3,187,2.104394885828655,3.3472803347280338,0.2620320855614973,6228,10610,6225,10615,10696,10704,7021,11649,11285,7453,12097,11287,58444936,58940104,58445800,59034344,58951752,59044488,62590216,63117704,71560840,64988968,65617960,71557096,220411010,221360898,220484298,221529898,221403858,221498130,237979946,238987722,276091726,247886512,248998920,276276368,17.58560320000106,18.035712599998078,18.658392900000763,18.248235900002328,17.988756899998407,18.16905129999941,20.021872000001167,20.02238589999979,20.439270599999873,18.346641200001613,19.467314000001352,20.469598299998324,,,,,,,,,,,,,3,1
9326,367,0.13387978142076504,0.19642857142857142,0.19642857142857142,55,280,55,0.412568306010929,0.08196721311475409,0.12568574826630047,0.1393469927878287,3,366,2.085138417975601,3.8461538461538463,0.273224043715847,7330,16630,7338,16838,16804,17004,8263,17227,11719,7831,17227,11719,100052272,102625648,100053040,102645872,102673232,102692432,102670168,105184408,105269512,101362072,103931608,105269512,379510041,383056041,379511817,383097833,383059705,383099705,387556713,391008681,396937093,381868263,385420503,396936847,35.394956700001785,35.524007100000745,35.42214260000037,35.77401130000362,39.20959939999739,38.92913699999917,34.0448808000001,34.27472229999694,34.03190650000033,35.69889329999569,33.89128999999957,33.25956579999911,7.8651000003446825,8.653333333010474,7.899866666169449,10.09285000084977,12.449166665949937,12.103249999199761,8.069749999170503,8.63415000033759,8.114283333270578,8.147950000420678,8.605666667184172,8.38948333330336,1,1
9330,193,0.18229166666666666,0.3107344632768362,0.3107344632768362,55,177,55,0.4479166666666667,0.10416666666666667,0.11979422975491616,0.1666685930431413,3,192,2.0635364876501336,3.864628820960699,0.20833333333333334,6603,10671,6596,10579,10745,10660,7507,11881,11719,7885,11881,11719,59071592,59249864,59071592,59314536,59254056,59317992,65163496,65350120,73380136,65746264,65972632,73380136,221351210,221949114,221318242,221971258,221949834,222004546,248027298,248665362,283442670,250019576,250657424,283442672,17.903933000052348,18.583882999955676,18.1775384999346,18.1685359000694,18.442064100061543,18.43158809992019,19.8437240999192,21.512346300063655,21.572186299948953,19.727141099981964,20.375026699970476,21.864875699975528,7.029216658944885,7.361600000876933,7.041049985370289,7.42283333480979,10.081150006347647,9.315083327237517,7.361566667289783,7.727216676964114,8.209933313385894,7.475283326736341,7.765700012290229,8.091450009184578,3,1
9332,220,0.1278538812785388,0.2777777777777778,0.2777777777777778,55,198,55,0.4748858447488584,0.1232876712328767,0.1780842298622664,0.13242310945786637,3,219,2.0314056300849286,3.7786259541984735,0.1963470319634703,6644,12238,6643,12699,12352,12814,7333,13313,11285,7669,13825,11287,70462664,71635528,70455912,71035848,71645512,71059528,75084360,76315720,81984136,75173800,75712936,81980392,265293478,267047766,265450414,266654350,267101974,266560886,284210626,286063634,313315362,284278568,285451912,312819348,25.295318899999984,24.558117999999013,22.259539799999402,24.551992299999256,25.049727300000086,25.495149800000945,22.88158459999977,25.158020900000338,24.81368199999997,22.812062999999398,23.43796249999832,24.40944689999924,,,,,,,,,,,,,3,3
